id,amount,customer_id,isUnauthorizedOverdraft,nameDest,nameOrig,newBalanceDest,newBalanceOrig,oldBalanceDest,oldBalanceOrig,step,type,diffOrig,diffDest,firstname,lastname,email,address,country,last_country_logged,creation_date,last_activity_date,age_group,is_fraud,countryOrig,countryOrig_name,countryLongOrig_long,countryLatOrig_lat,countryDest,countryDest_name,countryLongDest_long,countryLatDest_lat
a669a98a-940c-403f-85b3-c6af9013f0d0,3398.73,63927061-44ba-4e8b-9485-d16383bc0b37,0,M0037972467,C3778101239,936542.32,2868618.04,933143.59,2872016.77,287,PAYMENT,-3398.7299999999814,3398.7299999999814,Kayla,Carrillo,jennalopez@frazier.com,"550 Reyes Common
Raymondstad, ND 93875",IRL,IRL,2024-09-03 09:45:34,2024-09-30 17:19:52,6,False,QAT,Qatar,51.25,25.5,PER,Peru,-76.0,-10.0
35bfad43-fbf2-4f70-9d1d-ef4d2b8b0b39,9557.23,3e514ec1-538b-4f7d-81e0-996b452325db,0,M9185408556,C5984587092,626033.67,3328325.97,616476.44,3337883.21,215,PAYMENT,-9557.239999999758,9557.230000000098,Amber,Fernandez,colesarah@brown-maynard.biz,"98895 Smith Brook
Tracymouth, NH 97548",VNM,VNM,2023-10-29 09:45:34,2024-09-30 15:34:34,10,False,TUR,Turkey,35.0,39.0,PSE,"Palestinian Territory, Occupied",35.25,32.0
52a65997-afdf-482b-a9e8-a1db2f78bafd,127138.43,be7e0990-9e4f-4d6c-8cf4-ee1cfa284dd0,0,M5298842467,C7478620971,1700370.23,2857405.42,1700370.23,2984543.85,495,CASH_OUT,-127138.43000000015,0.0,Sara,Frost,yrobinson@walton-fleming.org,"970 Lauren Mountain
Romanmouth, NC 41812",KGZ,KGZ,2024-07-27 09:45:34,2024-09-30 19:07:02,9,False,FRA,France,2.0,46.0,PSE,"Palestinian Territory, Occupied",35.25,32.0
57be1caf-5c6f-4c33-84a2-1761afdb4167,80242.78,87e1c2ac-90c7-408f-9790-a9c36880786b,0,M0486813068,C2944404811,803971.76,58875.98,803971.76,-21366.81,288,CASH_IN,80242.79000000001,0.0,Michelle,Shields,vbush@burch.com,"5062 Joshua Underpass Apt. 055
West Gerald, CT 76762",GUY,GUY,2023-12-09 09:45:34,2024-09-30 19:23:36,6,False,NGA,Nigeria,8.0,10.0,FRA,France,2.0,46.0
e447d7b9-bb18-46fa-850d-74841e5a092d,2919.66,57ad9589-f01f-4389-9925-9914a8d48a0d,0,B9288898966,C4872152996,0.0,2104612.21,0.0,2107531.87,436,DEBIT,-2919.660000000149,0.0,Ernest,Moore,shannonbarber@melton.com,"43438 Christopher Unions Suite 043
Deanstad, ID 50593",SYC,SYC,2023-12-29 09:45:34,2024-09-29 12:39:43,4,False,ESP,Spain,-4.0,40.0,PER,Peru,-76.0,-10.0
3db31cbd-aaf2-44d1-a62d-9610e6a4ab09,121938.43,b30a245e-298c-4b38-8878-9bdd167c02f8,0,M0438836681,C6055283092,431340.31,4626758.07,431340.31,4504819.64,143,CASH_IN,121938.43000000063,0.0,Zachary,Black,smithkara@payne.com,"21733 Susan Plaza Suite 743
East Sierra, OR 26189",PNG,PNG,2024-08-18 09:45:34,2024-09-29 09:46:32,8,False,KHM,Cambodia,105.0,13.0,QAT,Qatar,51.25,25.5
3455fe69-a387-4433-8ea3-af697a04b14e,781.57,a3777bf9-3c49-4181-8cce-177c2198edd0,0,M2881214904,C7606952192,499511.25,3280290.94,498729.68,3281072.5,181,PAYMENT,-781.5600000000559,781.570000000007,Nancy,Hutchinson,kramirez@barry.com,"80999 Mary Row Apt. 172
South Anthony, MI 30155",GNQ,GNQ,2024-05-15 09:45:34,2024-09-30 21:03:27,3,False,RUS,Russian Federation,100.0,60.0,PSE,"Palestinian Territory, Occupied",35.25,32.0
40b4e87c-0899-4f76-b5b6-8673fe3e707b,130268.35,4da5ce2a-7879-4a3a-97f4-44717d3bcc75,0,CC2434709963,CC0247565681,130268.35,0.0,0.0,130268.35,85,TRANSFER,-130268.35,130268.35,Danielle,Little,lisawilliamson@martin.com,"7188 Carrie Springs Apt. 985
Bakerborough, GA 98811",MLI,MLI,2024-07-03 09:45:34,2024-09-30 09:41:31,9,True,PER,Peru,-76.0,-10.0,FRA,France,2.0,46.0
6ad97a25-22fc-4e59-8b1d-7ff41644672b,157555.99,1c652456-c1b6-45f6-87fe-ef3f1713af98,0,M5846240366,C7224978267,937104.22,3342851.54,937104.22,3500407.53,282,CASH_OUT,-157555.98999999976,0.0,Terri,Dickson,coxjohn@adams.info,"34820 Hansen Way
Cathychester, PW 10209",SLB,SLB,2024-09-22 09:45:34,2024-09-30 23:38:45,10,False,ITA,Italy,12.8333,42.8333,REU,Réunion,55.6,-21.1
df7b8ded-2f2e-4f7e-88d4-1005e4e08925,151323.16,be9310ff-6195-458e-a1cc-e738adcec3d5,0,CC4513098196,C2988316594,551323.16,2365314.63,400000.0,2516637.78,133,TRANSFER,-151323.1499999999,151323.16000000003,Heather,Steele,alewis@fernandez-rodriguez.com,"36548 Smith Summit Suite 764
Brayton, OK 30206",LUX,LUX,2024-06-20 09:45:34,2024-09-30 18:49:12,5,False,NGA,Nigeria,8.0,10.0,NGA,Nigeria,8.0,10.0
